ArticleID;FeatureVector
109568;3.1e-05   0.999526   2.4e-05   1.1e-05   0.000407
109569;0.334872   0.0   0.054332   0.452479   0.158317
109570;0.229651   1e-06   0.509558   0.113538   0.147252
109571;0.306008   0.00045   0.077048   0.230439   0.386055
109572;0.330608   0.000722   0.29322   0.139609   0.235841
109573;0.36957   4.9e-05   0.038116   0.329243   0.263022
109574;0.306008   0.00045   0.077048   0.230439   0.386055
109575;0.278449   2e-06   0.0121   0.557516   0.151933
109576;0.210098   6e-06   0.394462   0.16384   0.231595
109577;0.306008   0.00045   0.077048   0.230439   0.386055
109578;0.27431   3.6e-05   0.039046   0.417867   0.268741
109579;0.227218   0.143034   0.006827   0.238744   0.384177
109580;0.248121   5e-05   0.399913   0.133608   0.218308
109581;0.306008   0.00045   0.077048   0.230439   0.386055
109582;0.003265   0.0   0.990059   0.000604   0.006072
109583;0.297322   2.5e-05   0.034951   0.413566   0.254137
109584;0.211406   3.6e-05   0.002773   0.569886   0.2159
109585;0.306008   0.00045   0.077048   0.230439   0.386055
109586;0.367296   2e-06   0.098129   0.322495   0.212078
109587;0.302035   0.0   0.175113   0.186319   0.336532
109588;0.306652   3.8e-05   0.231417   0.178307   0.283587
109589;0.214605   3.7e-05   0.410493   0.097704   0.277162
109591;0.356258   0.000122   0.038944   0.334744   0.269932
109592;0.269381   1.7e-05   0.233778   0.196116   0.300707
109593;0.375829   2.5e-05   0.033041   0.349637   0.241468
109594;0.252976   3.3e-05   0.215572   0.202255   0.329164
109595;0.283972   4e-06   0.018434   0.512541   0.185049
109596;0.306008   0.00045   0.077048   0.230439   0.386055
109597;0.149443   0.030898   0.070599   0.131723   0.617337
109598;0.306008   0.00045   0.077048   0.230439   0.386055
109599;0.003265   0.0   0.990059   0.000604   0.006072
109600;0.332495   2.9e-05   0.048988   0.353874   0.264614
109601;0.336813   1e-06   0.037421   0.448646   0.177119
109602;0.27456   0.00015   0.005521   0.475486   0.244283
109603;0.406636   1e-06   0.045128   0.415165   0.13307
109605;0.316907   5.2e-05   0.131145   0.210842   0.341054
109606;0.375829   2.5e-05   0.033041   0.349637   0.241468
109607;0.003265   0.0   0.990059   0.000604   0.006072
109608;0.325089   3.8e-05   0.034925   0.356665   0.283283
109609;0.352325   0.000134   0.01868   0.389142   0.239719
109610;0.306008   0.00045   0.077048   0.230439   0.386055
109611;0.311114   0.000196   0.005915   0.458473   0.224301
109612;0.278626   0.0   0.035874   0.556876   0.128623
109613;0.325343   9e-06   0.076353   0.379768   0.218528
109614;0.272847   2e-06   0.019225   0.510209   0.197717
109615;0.27431   3.6e-05   0.039046   0.417867   0.268741
109616;0.331792   7.1e-05   0.209585   0.202901   0.255651
109617;0.277121   0.000131   0.038153   0.335835   0.34876
109618;0.386572   2e-05   0.017766   0.378702   0.216939
109619;0.375829   2.5e-05   0.033041   0.349637   0.241468
109620;0.351976   1.5e-05   0.122481   0.229166   0.296362
109621;0.409581   1e-06   0.064845   0.368259   0.157314
109622;0.332495   2.9e-05   0.048988   0.353874   0.264614
109623;0.210098   6e-06   0.394462   0.16384   0.231595
109624;0.300878   8.5e-05   0.01752   0.357773   0.323745
109625;0.306008   0.00045   0.077048   0.230439   0.386055
109626;0.011409   1e-06   0.965827   0.002676   0.020086
109627;0.341328   8e-06   0.020685   0.422557   0.215421
109628;0.34118   2.3e-05   0.086743   0.318708   0.253346
109629;0.224643   0.000234   0.00117   0.559072   0.214882
109630;0.348216   3e-06   0.158082   0.322189   0.171509
109631;0.30623   3e-06   0.010932   0.501747   0.181087
109632;0.306008   0.00045   0.077048   0.230439   0.386055
109633;0.375829   2.5e-05   0.033041   0.349637   0.241468
109634;0.16872   7e-06   0.257531   0.171206   0.402536
109635;0.310657   0.000151   0.009152   0.454355   0.225685
109636;0.277121   0.000131   0.038153   0.335835   0.34876
109637;0.360162   3e-06   0.094806   0.3251   0.219928
109638;0.295484   1e-06   0.010983   0.549301   0.144231
109640;0.334099   3e-06   0.175792   0.312735   0.177371
109641;0.002419   0.0   0.993403   0.000557   0.003621
109644;0.208748   2.2e-05   0.395789   0.121747   0.273695
109646;0.156076   3e-06   0.329273   0.164924   0.349724
109647;0.003265   0.0   0.990059   0.000604   0.006072
109648;0.332416   0.000283   0.051324   0.312227   0.303751
109650;0.283972   4e-06   0.018434   0.512541   0.185049
109651;0.309725   7e-06   0.033953   0.432134   0.22418
109652;0.306008   0.00045   0.077048   0.230439   0.386055
109653;0.140852   0.003309   0.689836   0.032845   0.133159
109654;0.286799   1.1e-05   0.140394   0.281129   0.291667
109655;0.316907   5.2e-05   0.131145   0.210842   0.341054
109656;0.305713   8e-06   0.193546   0.221682   0.279052
109657;0.409581   1e-06   0.064845   0.368259   0.157314
109658;0.011409   1e-06   0.965827   0.002676   0.020086
109659;0.306008   0.00045   0.077048   0.230439   0.386055
109660;0.339478   7.6e-05   0.064526   0.329772   0.266147
109661;0.281649   0.000173   0.195994   0.151003   0.371182
109662;0.427361   2.3e-05   0.009536   0.299884   0.263196
109663;0.361071   4e-06   0.027087   0.417178   0.19466
109664;0.283618   1e-06   0.169161   0.335564   0.211657
109665;0.039616   7e-06   0.833838   0.018028   0.10851
109666;0.377449   0.000137   0.064965   0.261633   0.295816
109667;0.361316   0.000238   0.024162   0.349806   0.264478
109668;3.1e-05   0.999526   2.4e-05   1.1e-05   0.000407
109669;0.331461   8.5e-05   0.042294   0.351296   0.274864
109670;0.277121   0.000131   0.038153   0.335835   0.34876
109671;0.421353   7.6e-05   0.027042   0.380857   0.170672
109673;0.348813   0.0   0.089913   0.379307   0.181966
109674;0.27431   3.6e-05   0.039046   0.417867   0.268741
109675;0.332416   0.000283   0.051324   0.312227   0.303751
109676;0.295484   1e-06   0.010983   0.549301   0.144231
109677;0.306008   0.00045   0.077048   0.230439   0.386055
109678;0.287579   2.5e-05   0.158941   0.195375   0.35808
109679;0.271571   1.5e-05   0.148777   0.236351   0.343286
109680;0.306008   0.00045   0.077048   0.230439   0.386055
109681;0.306008   0.00045   0.077048   0.230439   0.386055
109682;0.003265   0.0   0.990059   0.000604   0.006072
109683;0.312807   5e-06   0.18809   0.230383   0.268716
109684;0.421669   1.1e-05   0.010902   0.309585   0.257833
109686;0.344886   1e-06   0.139647   0.302182   0.213284
109687;0.281013   2.5e-05   0.099286   0.2709   0.348777
109688;0.214605   3.7e-05   0.410493   0.097704   0.277162
109689;0.330115   0.000151   0.016002   0.410134   0.243597
109690;0.214605   3.7e-05   0.410493   0.097704   0.277162
109691;0.011409   1e-06   0.965827   0.002676   0.020086
109692;0.289152   5e-06   0.016639   0.51697   0.177233
109693;0.306008   0.00045   0.077048   0.230439   0.386055
109694;0.366349   2.2e-05   0.02266   0.386899   0.22407
109695;0.306008   0.00045   0.077048   0.230439   0.386055
109696;0.331461   8.5e-05   0.042294   0.351296   0.274864
109697;0.315874   0.00021   0.021053   0.385211   0.277651
109698;0.27431   3.6e-05   0.039046   0.417867   0.268741
109699;0.306008   0.00045   0.077048   0.230439   0.386055
109700;0.309725   7e-06   0.033953   0.432134   0.22418
109701;0.306008   0.00045   0.077048   0.230439   0.386055
109702;0.306008   0.00045   0.077048   0.230439   0.386055
109703;0.443028   5.9e-05   0.020423   0.171394   0.365097
109704;0.3336   3e-06   0.021695   0.456542   0.188158
109705;0.352018   1e-06   0.012099   0.494006   0.141875
109706;0.035802   0.0   0.916202   0.012943   0.035053
109707;0.303702   2.3e-05   0.01517   0.472723   0.208382
109708;0.306008   0.00045   0.077048   0.230439   0.386055
109709;0.305863   2.9e-05   0.031022   0.420538   0.242548
109710;0.211406   3.6e-05   0.002773   0.569886   0.2159
109711;0.282662   9e-06   0.034199   0.417605   0.265526
109714;0.264355   1.2e-05   0.037393   0.420649   0.277591
