userid	timestamp	arm_pool
52	1280300454000	[4551, 19861, 9024, 63691, 10902, 102207, 12406, 93278, 101302, 53238, 27288, 57077, 43860, 93450, 86751, 92236, 25373, 2243, 5420, 55182, 73310, 9745, 61821, 20414, 25531]
1678	1263570061000	[17336, 73104, 8082, 89928, 71111, 98695, 11237, 46636, 75383, 79683, 82150, 98135, 104310, 88603, 89117, 88881, 106529, 62172, 1799, 35014, 57478, 48696, 103274, 47587, 29062]
55	1287374086000	[4853, 101084, 103377, 438, 3059, 45058, 72890, 62442, 28659, 17524, 8865, 15281, 18982, 24739, 61047, 100934, 98360, 25190, 73400, 20636, 39003, 25407, 74621, 5461, 22156]
1863	1249917939000	[30692, 6089, 104162, 84415, 87111, 37314, 29982, 32853, 41183, 16101, 70194, 80153, 35490, 60427, 4410, 29771, 48559, 93356, 7644, 71957, 100765, 19960, 38211, 78490, 48352]
869	1282280525000	[10736, 28244, 99802, 7363, 32189, 35833, 107228, 54801, 7456, 98029, 52529, 54170, 61629, 101220, 40333, 11600, 84445, 46249, 12066, 52559, 33103, 14981, 68994, 87271, 94376]
531	1286308284000	[43476, 81603, 84535, 78985, 7223, 51675, 11338, 74354, 95069, 92940, 6967, 92815, 98784, 9409, 58666, 34899, 31914, 13444, 98695, 20702, 52498, 73565, 80685, 62287, 20351]
1785	1242357581000	[25097, 1954, 66536, 79243, 93429, 99309, 90679, 70002, 47225, 36710, 34935, 27782, 37502, 40662, 85020, 6949, 46171, 20184, 69033, 74860, 79232, 75380, 82118, 20240, 16296]
1565	1286710131000	[9079, 2778, 67696, 74845, 7252, 1714, 56766, 18872, 18627, 4330, 33442, 63366, 11436, 17776, 90700, 84936, 44145, 72119, 62949, 84894, 28844, 72892, 9713, 78450, 97178]
1771	1287143424000	[24096, 67281, 8719, 6782, 31632, 54800, 61980, 61714, 29499, 97561, 87037, 6518, 90919, 11288, 32431, 35941, 106918, 28950, 64008, 23869, 15187, 82533, 81236, 54255, 18295]
1122	1283202291000	[84560, 92019, 19733, 41652, 12530, 17071, 91523, 70124, 5503, 66482, 20979, 84651, 82348, 59432, 18533, 48661, 87136, 53322, 82447, 70210, 61771, 79003, 82652, 102508, 21154]
303	1287195263000	[16052, 66580, 101865, 76023, 19255, 107158, 104239, 94649, 18253, 49565, 83668, 10842, 69854, 105149, 77320, 99550, 71747, 39348, 310, 78226, 17307, 56983, 54136, 63323, 92669]
417	1288311281000	[3576, 31914, 25965, 29042, 83294, 18829, 32024, 60807, 50189, 13439, 52559, 54914, 78416, 53891, 215, 73170, 14584, 65599, 59895, 72818, 102094, 106687, 82884, 72405, 105730]
685	1270905317000	[54503, 28753, 81283, 50566, 82983, 37883, 81848, 66364, 26703, 23572, 63696, 15194, 19611, 31253, 54834, 79282, 32104, 50010, 20104, 29984, 96939, 43258, 58640, 21773, 29002]
620	1252369006000	[50016, 13481, 16156, 4915, 106210, 89263, 100610, 2714, 4233, 33863, 105080, 18905, 72201, 5818, 80849, 30106, 24232, 55654, 74725, 17681, 27315, 13917, 100894, 11558, 85833]
407	1284405104000	[34496, 20963, 66441, 101041, 44207, 64110, 97203, 40912, 84574, 31146, 36380, 76061, 62382, 41664, 92109, 89111, 96160, 84593, 22567, 95180, 1607, 33867, 34904, 33053, 65789]
1691	1288713574000	[18347, 4935, 17537, 92543, 23683, 8443, 31658, 50936, 85728, 88175, 60920, 84501, 104458, 102587, 50009, 56236, 7673, 74680, 11867, 39229, 85836, 89014, 83405, 65613, 61170]
1729	1263100637000	[21015, 88886, 12479, 48492, 79196, 27473, 31018, 42909, 28470, 22751, 50392, 14354, 96003, 85554, 57752, 51219, 33989, 77908, 84817, 59162, 83533, 62084, 17087, 75515, 45451]
1796	1239639448000	[25976, 30419, 44194, 1212, 52328, 52357, 83603, 36216, 41398, 72392, 4033, 18967, 79225, 76817, 106649, 9392, 41667, 73004, 45761, 98710, 12289, 49610, 73850, 99805, 95501]
479	1255870392000	[40108, 76082, 74757, 100640, 87454, 27040, 72681, 31381, 71989, 71051, 9428, 54562, 56198, 52392, 30300, 66445, 25681, 71996, 69580, 35888, 96887, 53123, 8823, 96392, 54418]
48	1285588673000	[4266, 37125, 70789, 81482, 87959, 103895, 64371, 40240, 25542, 11672, 16929, 106658, 44017, 68194, 29025, 20004, 56876, 101335, 72348, 54054, 80928, 13735, 98299, 23652, 83526]
1747	1287316170000	[22147, 76219, 46149, 38599, 85957, 35617, 44584, 68697, 4833, 93752, 99977, 96521, 82355, 79907, 31166, 79463, 26951, 105639, 33010, 46148, 46418, 67864, 49806, 80313, 9555]
586	1246546059000	[47458, 13036, 3376, 3472, 25619, 103508, 14561, 68928, 100865, 55802, 12468, 75789, 20804, 98171, 73480, 26922, 52358, 70456, 94117, 83014, 1584, 84326, 71863, 40416, 1766]
1179	1275203820000	[88225, 32767, 95311, 8038, 28883, 408, 17267, 35769, 12223, 48985, 91742, 10057, 87891, 42231, 9332, 390, 81842, 79737, 100654, 21305, 61458, 95756, 96465, 1501, 99944]
1406	1249243776000	[35922, 25342, 36122, 79289, 104723, 78498, 70666, 84238, 70530, 35830, 16153, 45718, 103985, 29856, 76238, 43827, 80162, 87870, 35768, 15707, 30163, 2778, 25068, 2804, 7627]
1238	1238576181000	[92664, 9710, 77375, 67098, 40610, 63675, 35133, 76441, 83616, 57273, 89951, 9145, 48197, 26325, 11573, 10805, 78754, 41262, 77230, 102652, 22014, 53624, 86574, 71376, 103842]
1238	1240240500000	[92655, 42079, 83881, 31545, 59749, 15141, 78349, 75458, 33770, 6122, 17134, 681, 72573, 43484, 83427, 13734, 27936, 63508, 13291, 51068, 16018, 10310, 14138, 19326, 61819]
