userid	timestamp	arm_pool
923	1298934000000	[6777, 16325, 10925, 9484, 9529, 3157, 16639, 4947, 2350, 7154, 5473, 1057, 2851, 3186, 7789, 14245, 11452, 18424, 1815, 8857, 11594, 16369, 18077, 12996, 17511]
573	1243807200000	[820, 4767, 7895, 2613, 7056, 11126, 10685, 3102, 12689, 16521, 13108, 6305, 6396, 9566, 4130, 4826, 14624, 10970, 8302, 6136, 6128, 14978, 16661, 9402, 18412]
495	1277935200000	[5441, 9737, 11937, 2328, 11964, 18326, 3962, 6955, 18268, 6097, 5228, 4222, 15687, 5616, 9154, 6790, 12926, 13056, 14652, 12078, 8582, 553, 11291, 3442, 1047]
546	1191189600000	[333, 2607, 5055, 3878, 1991, 2759, 14131, 2417, 13755, 8140, 6504, 14278, 8403, 17285, 3429, 10468, 87, 15667, 6442, 13010, 1365, 14450, 2322, 15538, 1452]
212	1304599048199	[1360, 12998, 16668, 1821, 10113, 5922, 18341, 4600, 1489, 17529, 1061, 6515, 11011, 2147, 11146, 18216, 10825, 16827, 9975, 14144, 6549, 16714, 1586, 8350, 7119]
509	1291158000000	[443, 13659, 5235, 8407, 12755, 491, 13185, 17712, 17075, 18460, 4745, 6337, 1304, 2312, 10409, 7745, 1322, 12367, 2767, 5493, 17458, 4732, 3639, 2940, 2077]
725	1280613600000	[599, 7334, 10494, 5118, 3880, 13839, 2706, 18180, 3609, 3845, 3624, 1153, 7219, 203, 4731, 14081, 2011, 1525, 15194, 8871, 15934, 11994, 18722, 7082, 4981]
1140	1272664800000	[13846, 18356, 650, 8068, 13170, 15636, 15247, 8782, 1634, 10149, 3553, 16730, 18270, 7938, 559, 10978, 754, 12207, 2861, 17962, 5244, 12203, 2975, 9827, 12959]
945	1207000800000	[1844, 11479, 615, 15461, 10791, 11097, 15420, 14, 11747, 5521, 9748, 10233, 16344, 10726, 10205, 8322, 10945, 17084, 3029, 13982, 5659, 16607, 9969, 2512, 3986]
923	1296514800000	[6249, 15652, 2270, 12164, 17367, 18055, 16904, 3555, 8472, 7249, 18502, 4094, 3348, 15201, 1130, 2790, 15640, 5487, 141, 4516, 7808, 2685, 1300, 8476, 3959]
1637	1270072800000	[1609, 11842, 9707, 6516, 2408, 3104, 12993, 9434, 7256, 15583, 10738, 8232, 2526, 12973, 264, 15144, 17943, 5250, 8130, 4496, 34, 15082, 2557, 16363, 1729]
1680	1264978800000	[17153, 14304, 16918, 11955, 7420, 8781, 8775, 13136, 5116, 1823, 3398, 6975, 5190, 4492, 14379, 6501, 6301, 18179, 18587, 18385, 6043, 9073, 1677, 8396, 7263]
459	1254348000000	[5260, 10830, 15551, 6343, 17947, 5738, 1567, 1339, 18313, 17948, 11455, 3739, 6403, 5671, 2572, 7251, 8659, 8105, 16860, 5154, 17977, 3747, 2144, 2378, 1797]
945	1185919200000	[1709, 18515, 4679, 17456, 4280, 1047, 16182, 3258, 16369, 9873, 12633, 5854, 10822, 3628, 4295, 5808, 7960, 18592, 14156, 2075, 10492, 869, 17878, 8677, 875]
47	1264978800000	[1499, 4841, 13211, 17830, 1675, 347, 9658, 14453, 8919, 6524, 17472, 18454, 11349, 1314, 2812, 942, 15137, 2029, 8766, 5484, 11922, 14053, 12120, 294, 7152]
1140	1251756000000	[5629, 7431, 4617, 8370, 1145, 4712, 10521, 11434, 10161, 2496, 18068, 11558, 1819, 6523, 10547, 12822, 9724, 2277, 2106, 9681, 2530, 11668, 5475, 3545, 5902]
100	1267398000000	[714, 6550, 16394, 5055, 9700, 525, 11329, 685, 17919, 9913, 1630, 9054, 14485, 14317, 6509, 8245, 1689, 18442, 8298, 8108, 18624, 17669, 1152, 6117, 14750]
1637	1270072800000	[1451, 6297, 11353, 9505, 2820, 13951, 3604, 4877, 1399, 7551, 5452, 3962, 4396, 18265, 4615, 9827, 7111, 209, 3219, 12481, 18040, 14895, 1398, 13502, 4690]
1745	1275343200000	[5083, 6350, 16769, 12573, 10992, 485, 9433, 9460, 4867, 17639, 4389, 2491, 4826, 6836, 1772, 4088, 3393, 7691, 18606, 16961, 399, 17305, 4236, 9867, 10163]
1466	1293836400000	[10379, 8843, 8878, 4134, 4250, 13425, 6413, 4074, 1418, 6381, 7944, 9048, 4612, 16646, 4793, 712, 8438, 13939, 347, 2160, 14052, 15736, 18374, 17945, 15851]
1390	1275343200000	[1118, 4678, 18411, 7074, 7264, 11865, 12717, 16355, 2655, 9447, 12070, 5205, 10211, 11969, 9739, 8150, 14631, 1130, 8333, 5222, 5772, 18067, 360, 8709, 10421]
47	1264978800000	[1499, 2944, 11770, 15502, 18521, 13145, 4564, 2848, 10324, 5436, 15390, 6896, 17326, 9830, 1552, 1847, 18454, 17951, 16138, 12477, 1254, 13075, 13524, 8113, 5185]
41	1288566000000	[3200, 11881, 18722, 4465, 10810, 10947, 4414, 4978, 13735, 15610, 6693, 18341, 16619, 10214, 13017, 8140, 6794, 4570, 1114, 1359, 3831, 8246, 4179, 1833, 3030]
923	1254348000000	[11085, 12925, 2281, 15279, 3454, 13437, 14295, 18530, 15333, 2964, 4440, 1800, 9127, 11933, 6231, 17934, 12693, 2970, 9794, 17633, 15812, 6638, 1051, 5908, 16332]
509	1225494000000	[6615, 802, 2670, 1726, 2916, 3785, 15134, 13660, 5670, 16486, 5690, 10399, 6588, 5292, 8693, 17714, 10582, 15776, 6564, 10581, 9435, 7436, 6770, 12838, 5447]
754	1241128800000	[377, 13652, 15694, 15308, 10472, 3419, 12705, 3259, 5628, 1669, 14724, 17117, 7145, 2446, 2938, 6950, 7231, 3414, 16028, 5257, 10278, 2671, 7208, 15486, 15071]
1140	1249077600000	[1975, 16006, 13720, 2834, 17668, 609, 5956, 15821, 6401, 13289, 14391, 1551, 12129, 9117, 11955, 17175, 2441, 1995, 16630, 14261, 10479, 17898, 1316, 18706, 1779]
1372	1212271200000	[8067, 6620, 15091, 7697, 12214, 7846, 11085, 65, 863, 17910, 14528, 10385, 3299, 3975, 8168, 1056, 735, 2898, 15941, 11150, 14548, 9873, 5198, 7107, 11610]
1592	1304935535985	[292, 15726, 7435, 6655, 3360, 15633, 3725, 3892, 3481, 11338, 14154, 8295, 16006, 6396, 6365, 3424, 1810, 6818, 7661, 7541, 241, 13540, 12193, 9320, 5307]
1299	1277935200000	[3384, 3985, 234, 10791, 18002, 8293, 17620, 8290, 7113, 6715, 16212, 5871, 5590, 16094, 8813, 7994, 9729, 4562, 1114, 2204, 9301, 18715, 6680, 11720, 9401]
923	1291158000000	[9424, 15487, 5381, 9590, 7874, 11168, 8552, 13273, 13936, 4096, 8121, 3376, 7479, 12356, 8716, 9775, 6753, 2432, 17134, 11892, 11033, 8864, 1505, 15132, 17338]
315	1241128800000	[5793, 10646, 7675, 1422, 11849, 6772, 14896, 181, 6545, 801, 17233, 6305, 17130, 625, 10676, 8642, 4188, 6915, 1213, 2360, 2468, 2501, 16646, 8248, 7949]
945	1183240800000	[12626, 13650, 2699, 8019, 11464, 17059, 1409, 8794, 15927, 10582, 3854, 7109, 5540, 16098, 2696, 1953, 15371, 3584, 1537, 6315, 11544, 10244, 14323, 2342, 11200]
1062	1283292000000	[225, 15247, 1219, 18242, 15583, 3247, 3001, 2392, 5255, 16076, 6460, 3032, 7851, 18154, 9481, 6440, 2383, 18368, 883, 827, 16904, 5854, 15390, 13393, 14012]
1815	1177970400000	[17887, 806, 11098, 5937, 3475, 264, 17822, 2856, 7353, 7227, 12808, 9667, 8608, 7557, 10985, 16288, 17883, 4987, 10419, 2074, 8831, 5849, 7798, 96, 3519]
495	1283292000000	[7812, 6598, 18531, 12171, 5091, 8185, 16103, 8422, 8273, 4077, 1528, 13575, 5664, 1842, 1321, 7590, 16620, 4590, 99, 1190, 17310, 392, 3106, 12943, 8150]
45	1280613600000	[4223, 18587, 18668, 10802, 16529, 4771, 11777, 6531, 10179, 4383, 13971, 4350, 3183, 1197, 9160, 13709, 8229, 9403, 2542, 9141, 16139, 5616, 10649, 3954, 1975]
1234	1285884000000	[1858, 16522, 16923, 4246, 16671, 15075, 6207, 3454, 5721, 585, 15595, 4043, 13727, 2981, 18232, 12046, 13197, 8648, 11852, 7094, 2962, 75, 3306, 13533, 7922]
45	1280613600000	[182, 13002, 407, 5967, 8239, 6545, 9644, 1153, 16190, 15760, 5425, 14219, 11241, 3066, 14444, 3119, 2761, 3678, 7680, 18653, 2402, 13913, 13455, 8586, 16619]
211	1122847200000	[1881, 13399, 13670, 2948, 14666, 5903, 1962, 17009, 1359, 1804, 8881, 4862, 13085, 3139, 3687, 17660, 18634, 4552, 5062, 398, 14423, 704, 155, 14787, 9568]
1429	1180648800000	[4262, 6185, 5239, 3339, 11027, 4972, 2021, 15769, 17450, 12468, 8069, 1758, 2695, 3762, 4539, 11981, 12165, 15360, 17436, 8319, 7869, 17149, 18021, 184, 9496]
945	1191189600000	[2136, 2107, 9511, 4575, 4432, 12199, 1964, 3769, 3557, 16843, 11343, 2228, 7011, 12504, 4457, 408, 4981, 15371, 4768, 3032, 2203, 7312, 5270, 9736, 1708]
923	1296514800000	[13450, 12579, 4375, 4994, 8159, 2509, 8543, 4745, 10794, 14011, 1523, 6361, 10559, 15641, 6122, 12600, 11116, 18460, 1171, 13730, 11138, 13976, 17970, 5714, 13923]
923	1296514800000	[6777, 748, 5688, 528, 17719, 13017, 3041, 11547, 15296, 16915, 10901, 14435, 6475, 1372, 3247, 12485, 3, 5401, 29, 11040, 4759, 5248, 2441, 2244, 5918]
1062	1228086000000	[1910, 585, 8547, 6237, 17527, 15624, 6162, 14029, 9050, 14065, 4928, 3377, 6282, 5795, 12083, 83, 13843, 10647, 16505, 16491, 828, 1079, 3310, 18045, 13152]
546	1199142000000	[490, 15247, 5702, 7516, 11081, 2993, 8230, 5708, 10629, 13014, 17589, 17203, 434, 13539, 3700, 7683, 9567, 6309, 7187, 3950, 10844, 11424, 18607, 14724, 6123]
1040	1164927600000	[2179, 328, 3481, 3885, 9272, 8435, 3138, 2019, 1130, 14569, 161, 10517, 8118, 7182, 8258, 263, 13359, 12307, 1626, 7897, 3956, 10046, 7972, 12551, 1207]
64	1180648800000	[85, 9646, 10091, 13247, 170, 5044, 7287, 2138, 16084, 3718, 5530, 13008, 8761, 12039, 9391, 10619, 12745, 17638, 4448, 5789, 17286, 15182, 14654, 12823, 1672]
495	1277935200000	[768, 7118, 15293, 13832, 1460, 6857, 1514, 13161, 10523, 5117, 15641, 10698, 17187, 17333, 9912, 1427, 8384, 18258, 3282, 12528, 16415, 12829, 11063, 3354, 17577]
315	1243807200000	[2836, 7007, 6309, 927, 1690, 10735, 15754, 5180, 12291, 8113, 5714, 12612, 2659, 14638, 3171, 772, 6145, 3001, 1691, 12399, 1505, 5662, 715, 4021, 14987]
923	1298934000000	[2445, 4041, 6909, 2317, 5728, 11600, 3462, 571, 678, 5525, 3488, 9663, 18256, 13353, 17337, 2139, 3770, 16270, 10652, 2029, 727, 1945, 3456, 13382, 18010]
356	1285884000000	[157, 207, 14877, 5675, 15881, 13836, 3063, 16145, 3998, 10945, 18027, 1651, 4492, 18326, 13611, 10865, 12827, 918, 15433, 1316, 7897, 6044, 15466, 16740, 17045]
1741	1146434400000	[1715, 2312, 3149, 16130, 12690, 946, 12915, 142, 13872, 13652, 1436, 10379, 5988, 1141, 8788, 13967, 18534, 5265, 14724, 15293, 621, 1909, 8933, 14976, 7734]
752	1275343200000	[89, 3716, 9290, 257, 2817, 6149, 4295, 16667, 1702, 12118, 18339, 3447, 7800, 992, 1085, 4939, 7792, 4680, 11878, 7160, 8628, 10883, 13123, 8659, 5035]
573	1243807200000	[6, 15914, 6662, 7946, 1095, 3972, 12362, 11634, 5535, 3359, 18603, 14346, 13130, 334, 298, 5375, 12965, 4818, 8078, 2702, 18031, 5981, 14546, 2386, 16877]
211	1122847200000	[2567, 1716, 6658, 1383, 13501, 6533, 15538, 12104, 14269, 11336, 9005, 15617, 17512, 16677, 11147, 4239, 6446, 13128, 16132, 14617, 9418, 2952, 2624, 5960, 4627]
1745	1296514800000	[5089, 11585, 1422, 613, 12191, 3158, 11981, 6175, 6340, 2990, 5737, 17215, 7777, 16659, 12839, 4237, 10602, 2518, 10776, 11955, 32, 3412, 8543, 3422, 9966]
901	1230764400000	[450, 9467, 7696, 15485, 88, 4723, 6837, 9156, 9537, 15592, 14217, 9791, 3461, 5984, 6742, 16852, 8747, 214, 3960, 7446, 4524, 6734, 4561, 3774, 16267]
315	1254348000000	[5797, 1799, 7019, 10313, 10485, 7561, 7886, 9115, 13683, 3149, 15817, 4041, 565, 9973, 6217, 17053, 1905, 283, 18671, 350, 13047, 10791, 1453, 6185, 373]
64	1201820400000	[1122, 7152, 11483, 1678, 17798, 661, 6548, 7969, 11806, 1356, 9439, 17569, 6182, 2059, 14378, 7934, 6913, 4049, 6947, 13145, 23, 2946, 7689, 4836, 9039]
1541	1230764400000	[7639, 1595, 16203, 6558, 4196, 13759, 7318, 6426, 18659, 14248, 13209, 18033, 16134, 18241, 809, 6150, 2745, 395, 17153, 299, 2657, 5191, 534, 8192, 3247]
1741	1164927600000	[3445, 8626, 10486, 14890, 11346, 17949, 15260, 17722, 5124, 4270, 10133, 16162, 11047, 97, 14622, 585, 15584, 6852, 893, 13014, 615, 5554, 12298, 6579, 7879]
1142	1196463600000	[13501, 13451, 4787, 17488, 188, 12804, 12437, 1272, 3236, 5701, 4205, 8581, 14285, 7667, 6564, 18445, 2375, 3940, 8789, 10619, 18030, 18655, 1094, 7352, 1191]
1745	1291158000000	[2094, 4979, 3451, 12783, 7838, 7724, 9644, 9774, 14548, 1112, 15690, 5176, 9506, 6399, 18296, 15361, 5068, 1883, 12073, 9717, 13395, 5942, 4948, 7159, 3327]
703	1291158000000	[1810, 8002, 14215, 13310, 7075, 2281, 1025, 16206, 1743, 17045, 16770, 7976, 5801, 17829, 2598, 10436, 3810, 14963, 3173, 15094, 1276, 4168, 11253, 12630, 3454]
35	1214863200000	[1636, 1324, 2734, 3716, 9537, 6460, 17735, 5246, 11534, 3966, 16909, 9178, 11789, 9253, 15851, 3408, 1014, 14293, 5267, 14241, 5692, 8192, 16696, 7663, 13610]
1741	1133391600000	[17616, 8575, 4756, 1210, 7110, 10980, 14623, 16792, 5239, 11806, 6175, 13385, 13895, 15539, 13954, 2169, 6576, 14443, 16732, 18318, 3062, 13423, 16486, 1516, 13595]
1741	1204326000000	[4618, 18597, 6500, 3348, 3571, 8566, 14501, 7418, 12338, 13666, 13684, 8794, 10002, 18184, 6553, 5814, 11051, 16432, 12360, 18582, 14707, 6726, 1766, 10658, 7395]
1515	1285884000000	[679, 8244, 6651, 8738, 6666, 5299, 6623, 9400, 16660, 3817, 10468, 16860, 895, 12207, 12890, 4736, 11113, 9128, 2444, 5547, 12566, 8252, 782, 7523, 12829]
