Time(Iteration),DisLinUCB,AsyncLinUCB,AsyncLinUCB_AM,FedGLB_UCB
0,1300,650,650,0
1,3900,2600,2600,776
2,7800,5200,5200,2528
3,13000,8450,8450,5456
4,19500,12350,12350,9760
5,27300,16900,16900,15640
6,36400,22100,22100,23296
7,46800,27950,27950,32928
8,58500,29250,29250,44736
9,71500,36400,36400,58920
10,85800,44200,44200,75680
11,101400,52650,52650,95216
12,117000,60450,60450,123664
13,133900,69550,69550,147376
14,152100,70850,70850,174364
15,171600,72150,72150,204828
16,192400,83200,83200,238968
17,214500,94900,94900,276984
18,237900,96200,96200,319076
19,262600,109200,109200,365444
20,288600,122850,122850,416288
21,315900,124150,124150,471808
22,344500,138450,138450,532204
23,374400,154050,154050,597676
24,405600,155350,155350,668424
25,438100,171600,171600,744648
26,471900,173550,173550,826548
27,507000,190450,190450,914324
28,543400,193050,193050,1008176
29,581100,210600,210600,1108304
30,620100,213850,213850,1214908
31,660400,215150,215150,1328188
32,702000,235950,235950,1448344
33,744900,237900,237900,1575576
34,789100,259350,259350,1710084
35,834600,261950,261950,1852068
36,881400,263250,263250,2001728
37,929500,287300,287300,2159264
38,978900,289250,289250,2324876
39,1029600,290550,290550,2498764
40,1081600,315250,315250,2681128
41,1134900,317850,317850,2872168
42,1189500,319800,319800,3072084
43,1245400,345150,345150,3281076
44,1302600,346450,346450,3499344
45,1361100,351000,351000,3727088
46,1420900,352300,352300,3964508
47,1482000,378300,378300,4211804
48,1544400,380250,380250,4469176
49,1608100,385450,385450,4736824
50,1673100,412750,412750,5014948
51,1739400,415350,415350,5303748
52,1807000,421200,421200,5603424
53,1875900,449150,449150,5914176
54,1946100,452400,452400,6236204
55,2017600,453700,453700,6569708
56,2090400,460200,460200,6914888
57,2164500,488800,488800,7271944
58,2239900,492700,492700,7641076
59,2315300,492700,492700,8053666
60,2392000,494650,494650,8440874
61,2470000,501800,501800,8840658
62,2549300,534300,534300,9253218
63,2629900,536900,536900,9678754
