Time(Iteration),oracleLinUCB,adTS,dLinUCB,CoDBand,DyClu
0,3.3258138641696884,3.993088186663905,3.814731825514935,3.4717689244421956,4.476725671155311
1,5.464136082445727,7.07086612942847,7.512754707702067,6.420850507614338,6.207190665682245
2,7.1571386133329336,10.169793849122538,9.381995242664175,8.994942935057352,8.570852007704357
3,8.26478474419957,13.302137177665909,12.747544263521329,11.669630333529177,11.56082992760925
4,9.91540103668862,16.82896289172148,14.493148959946552,12.775180603070936,14.163280132396933
5,11.165275542972799,20.99374132534762,17.830383184048905,14.523601965762145,16.171781192864103
6,11.72315863635889,23.85760028864463,20.73415069234331,16.04490843833075,18.317315366630233
7,12.117540549411478,27.684341828266273,23.336334367751043,18.55864287823301,20.61014658312297
8,12.604702299478324,30.22265520033174,25.12651011872422,20.508150233096345,22.29277991546938
9,13.172789977613466,32.73617982594733,27.238381908901463,23.344820462968954,23.926736983718172
10,13.172789977613466,36.47787361844986,29.88087401165612,24.37610553648498,25.61259618131871
11,13.729371727419936,38.6497022468881,31.59217252070368,24.44927720801755,26.499696771184112
12,14.253454536409999,41.2662184705044,33.72598291647245,24.957232741163367,27.483631983331673
13,14.562600438065244,43.52340212404268,34.99322297531354,25.049468034005784,27.94457816852974
14,14.682528910236448,45.61219225782037,37.09211560357389,25.521040477999847,28.835225655755945
15,14.974241653749177,46.86768574050756,39.15479083684227,26.178620190367482,29.458478875594622
16,15.16074497466733,49.30054583498246,40.01268351463217,26.579134424296605,29.695851595312824
17,15.50022564248756,52.718480046132655,41.01241858170841,27.066958697853003,30.375399979344696
18,15.674242408652905,54.64753724139652,43.15628446204935,27.287242769905802,30.42140906885201
19,15.952050188944193,57.331786286750926,44.867430383811886,27.40157266916178,30.800999455714027
20,15.952050188944193,59.584843243235014,46.408055948380756,27.632995704729197,31.23547641446538
21,16.152318089789286,62.25402985690369,47.840368603493175,28.006278376295537,31.522420955188018
22,16.34389189297407,65.04935298553865,48.39220727969768,28.08725628947193,31.93309393177629
23,16.5069080506989,66.73698321443617,49.33730427469591,28.543230532653855,32.34787749901443
24,16.555651563854962,70.30712651397532,50.506884390724686,28.65806280628485,32.4342546785582
25,16.748371359370672,72.38281013145703,51.57518776435955,29.15415229721194,32.64129773084159
26,16.748371359370672,73.85529046085355,52.24499244580002,29.203428920612623,32.64129773084159
27,16.918963491795235,76.3343668233707,53.35564590157317,29.23568382056218,32.959832441842764
28,16.918963491795235,78.75823445757,54.03587131400586,29.3362173633,33.04570955374779
29,16.918963491795235,81.3944469429836,54.83310254403604,29.479434221737403,33.19250511038353
30,16.946853833285004,83.54847511802156,56.44804579964993,29.479434221737403,33.296326897798295
31,17.031074518742248,86.79484517029675,57.27480380974645,29.76575114623857,33.837167547822006
32,17.18788276883947,88.23245249761193,58.22930531806291,29.881722076833036,34.30654442378173
33,17.415256084425863,90.68200411713157,58.7604249656404,30.02080199987273,34.44344318610053
34,17.545514381765226,93.25253554712776,59.96727143559477,30.199107684252464,34.774156189070375
35,17.55418519254504,95.27142304652153,60.59021641459009,30.27858410845467,35.141002319809125
36,17.624163291173293,97.46522671267543,60.98169599231191,30.34856220708292,35.285753990009916
37,17.724040333247938,99.71530416022674,61.92584643199143,30.408093695524485,35.408527493628654
38,17.882784889249017,101.43392124485493,62.57501756573649,30.51627467506228,35.529977312751775
39,17.882784889249017,103.26409806464166,63.10354871013662,30.51627467506228,35.81590478179009
40,17.88715151400671,105.5100372208003,63.88707419063638,30.62570151195275,36.019417601885706
41,17.916519082899303,107.93062716060956,63.95549433218242,30.721243075759578,36.26394015596025
42,17.93845851308777,109.87591566728047,64.11889381710729,30.721243075759578,36.36595342726929
43,17.990503039779277,112.23395166141628,65.19412837627215,30.77359635840179,36.64072323903951
44,18.01796766218463,114.9034333956628,65.43599008470431,30.875883743254562,36.87561054935419
45,18.11169443268801,116.77057578997612,65.59218777133859,30.900323787797365,36.99315503815291
46,18.279424835879688,117.71691822302097,66.24378789572714,30.948106393978346,37.017809427012125
47,18.352713633884655,119.85559775871732,67.01227246004771,30.948106393978346,37.10545484875306
48,18.373897722242827,121.42623841632741,67.34249075430314,31.09502557203197,37.12663893711124
49,18.373897722242827,123.6567506957478,67.6269540110713,31.09502557203197,37.16877751421741
50,18.406238519107273,125.79664867091532,67.9403547524728,31.09502557203197,37.24876151513968
51,18.479740775890285,127.02099372705551,68.10986864626588,31.176366119859082,37.398487665740866
52,18.479740775890285,129.24208906518174,68.30250730455944,31.19404897845483,37.398487665740866
53,18.559999113984375,130.59035895915568,68.43423577497386,31.331257300180194,37.440150795005586
54,18.648525051956927,132.14821840944848,68.83097786616167,31.41795256970292,37.68540342890257
55,18.74866170833891,133.82681568802846,69.20235900018521,31.479883310549567,37.867490127796316
56,18.75219589049729,135.98468403843904,69.40634052497806,31.596398646237315,38.02390123983368
57,18.792153807564045,136.51327900787106,69.54624315839253,31.735490711284495,38.186209695429014
58,18.834661412269813,138.6439312235243,69.7099947562806,31.876694118582435,38.3381958561142
59,18.865633620834707,139.3328578900736,70.1532170896774,31.90766632714733,38.38187020895991
60,18.865633620834707,140.8285264890528,70.46997324579041,31.90766632714733,38.38187020895991
61,18.865633620834707,142.5317393111834,70.71272715114611,31.983735582280755,38.50757560954924
62,18.91490329631555,144.2821638001177,71.04703010513673,32.037222941250945,38.65126265589157
63,19.048425703534463,145.5737879709536,71.31317529685857,32.10442200983334,38.92379270434796
64,19.102799620963392,146.96288464117023,71.83218373993445,32.178659662428544,38.97816662177689
65,19.102900941213253,148.59443973653805,72.30875468382654,32.289622730677834,39.188736713476615
66,19.149095034663045,150.4695004650939,72.61344151419554,32.34300471559475,39.201109177397925
67,19.15021053337847,151.44374986145158,72.91805465873752,32.37594624556628,39.3533681499069
68,19.201179279230974,152.031830034526,73.0096460294879,32.42240583998402,39.40581734950602
69,19.212148640278908,153.67017387284358,73.2063773888267,32.43337520103196,39.519760153421515
70,19.303140230104592,154.88774672635822,73.53510546295803,32.528869761856086,39.598221617671186
71,19.303140230104592,156.0613020958694,73.79247097002735,32.56324607700473,39.598221617671186
72,19.35942742551401,157.17916543214574,74.0108058675939,32.693160264433736,39.82318291288608
73,19.388366712799826,158.2056746586528,74.2189865488962,32.73890150039042,39.8521222001719
74,19.402391853516725,159.0229740653965,74.41893682158495,32.78900261133714,39.91130737073981
75,19.43176561730921,160.25713057864084,74.84246257829979,32.78900261133714,39.975262000265516
76,19.44738440713712,161.105805298174,74.91225847796662,32.80462140116505,39.99088079009343
77,19.44738440713712,162.29808013774834,75.1295265415111,32.80462140116505,39.99088079009343
78,19.51424454679567,163.76032154102947,75.44173128056053,32.830939385037965,40.12282712312017
79,19.527811040572853,165.86865660680698,76.11426146524475,32.88073898085926,40.12282712312017
80,19.554251946502564,167.38650590849872,76.46707732673028,32.93037424930328,40.16839182186568
81,19.584940573852993,168.64353093929776,76.53104002805667,32.982753537027264,40.19908044921612
82,19.589324615746666,170.83736092932878,76.56261396471349,32.98713757892094,40.208737869567685
83,19.612809690386197,171.88976161961048,76.86297369965916,33.05126955869139,40.32530477979646
84,19.673802201061367,172.77560573470134,76.89351169275739,33.08180755178961,40.38629729047163
85,19.673802201061367,173.85951016698704,77.02367287343893,33.150315422977116,40.447950599965665
86,19.674553433986222,174.76220121997207,77.26060800360528,33.15106665590197,40.524003618971385
87,19.73324194037742,175.68749267149147,77.3026250727328,33.16270107275259,40.577655104949514
88,19.8024727451098,177.59530539930574,77.31666807333927,33.23002841952215,40.627896366463425
89,19.8024727451098,178.59062889153057,77.44240024641053,33.27051403349609,40.627896366463425
90,19.8024727451098,179.00871813584646,77.61528702433425,33.320363810866496,40.66068349791688
91,19.81683199976713,179.89077412051992,77.73077339788244,33.33738757398249,40.67770726103287
92,19.82628440021817,180.62705849707586,77.73406414935954,33.346839974433536,40.67770726103287
93,19.872425985444345,181.49785594669177,77.75807897156393,33.360777434706385,40.71565954351011
94,19.899698393533154,182.9307550590301,77.78535137965274,33.37320051068487,40.77990309379925
95,19.899698393533154,183.61679478450313,77.92563339227787,33.3912092054143,40.86708545936807
